Date,Opposition,Minutes,FieldGoal%,ThreePoint%,FreeThrow%,Rebounds,Assists,Blocks,Steals,PersonalFouls,TurnOvers,Points
Sat 1/4,MEM,35,33.3,28.6,100.0,8,3,0,2,1,5,24
Thu 1/2,DET,25,50.0,33.3,100.0,6,5,1,2,2,1,18
Tue 12/31,SAC,38,38.1,14.3,100.0,2,7,0,2,3,2,24
Sat 12/28,UTAH,36,25.0,14.3,100.0,4,6,0,2,1,2,19
Wed 12/25,LAL,38,57.9,71.4,100.0,12,5,0,1,4,3,35
Sat 12/21,SA,27,68.8,50.0,100.0,7,9,0,4,2,2,26
Thu 12/19,HOU,37,47.4,40.0,83.3,9,4,0,1,1,5,25
Tue 12/17,PHX,27,50.0,33.3,71.4,6,2,0,1,0,1,20
Fri 12/13,MIN,37,41.7,100.0,100.0,11,2,0,0,3,8,42
Wed 12/11,TOR,32,57.1,50.0,100.0,5,6,0,2,2,3,23
Sun 12/8,WSH,32,66.7,50.0,87.5,11,5,0,1,2,4,34
Fri 12/6,MIL,30,35.7,50.0,100.0,5,4,2,2,0,5,17
Tue 12/3,POR,28,20.0,40.0,75.0,9,5,0,2,0,1,11
Sun 12/1,WSH,26,66.7,40.0,100.0,6,3,0,1,3,1,34
Fri 11/29,SA,31,34.8,0.0,100.0,7,7,1,2,0,3,19
Tue 11/26,DAL,28,52.4,50.0,100.0,8,4,0,1,1,2,28
Sun 11/24,NO,28,36.8,33.3,83.3,4,6,0,0,1,1,26
Fri 11/22,HOU,28,56.3,40.0,57.1,6,3,0,3,5,2,24
Wed 11/20,BOS,38,35.0,30.0,0.0,6,3,2,3,2,5,17
Wed 11/13,HOU,41,41.7,33.3,60.0,12,7,1,1,1,4,26
Mon 11/11,TOR,35,18.2,0.0,88.9,11,9,0,3,3,9,12
Thu 11/7,POR,33,39.1,0.0,90.0,13,4,2,1,2,6,27
Sun 11/3,UTAH,34,34.6,25.0,83.3,6,3,1,3,2,2,30
Thu 10/31,SA,34,46.9,50.0,100.0,12,1,0,4,3,4,38
Mon 10/28,CHA,30,55.6,40.0,100.0,7,6,3,2,1,2,30
Sat 10/26,PHX,32,47.8,50.0,66.7,8,10,1,3,5,3,27
Thu 10/24,GS,21,52.9,33.3,50.0,5,9,0,0,0,1,21
Tue 10/22,LAL,32,52.6,20.0,90.0,6,5,1,2,5,6,30
Thu 10/17,DAL,22,26.3,25.0,50.0,3,2,0,4,4,2,13
Thu 10/10,DEN,11,50.0,33.3,0.0,1,6,0,1,0,0,7
